Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,45.980000,46.105000,45.480000,45.590000,44.195484,1271328
2018-01-03,45.610001,46.529999,45.610001,46.365002,44.946781,2049422
2018-01-04,46.715000,47.544998,46.654999,47.349998,45.901646,1728114
2018-01-05,47.455002,47.764999,47.294998,47.764999,46.303955,1207486
2018-01-08,47.775002,48.080002,47.689999,47.915001,46.449368,1265243
2018-01-09,47.919998,48.599998,47.919998,48.540001,47.055248,1645504
2018-01-10,48.330002,48.384998,47.849998,48.180000,46.706261,1420678
2018-01-11,48.430000,48.430000,47.619999,47.674999,46.216705,1664433
2018-01-12,47.959999,48.150002,47.814999,48.095001,46.623859,1212440
2018-01-15,48.095001,48.134998,47.820000,47.935001,46.468754,1004145
2018-01-16,47.959999,48.080002,47.730000,47.939999,46.473598,1206486
2018-01-17,47.880001,48.209999,47.759998,47.884998,46.420280,1322657
2018-01-18,48.060001,48.080002,47.724998,47.849998,46.386353,963358
2018-01-19,47.820000,48.375000,47.820000,48.105000,46.633553,1504500
2018-01-22,48.134998,48.299999,47.884998,48.084999,46.614166,1193323
2018-01-23,48.270000,48.369999,47.770000,47.985001,46.517227,1506972
2018-01-24,47.970001,48.044998,47.110001,47.150002,45.707767,1895313
2018-01-25,47.099998,47.689999,47.020000,47.560001,46.105225,1569188
2018-01-26,47.580002,48.195000,47.540001,47.930000,46.463909,1383640
2018-01-29,48.145000,48.185001,47.825001,47.825001,46.362118,1151279
2018-01-30,47.415001,47.584999,46.919998,46.919998,45.484798,1817311
2018-01-31,47.154999,47.220001,46.785000,46.814999,45.383011,1509778
2018-02-01,47.000000,47.275002,46.134998,46.325001,44.908001,2190791
2018-02-02,46.200001,46.235001,45.365002,45.634998,44.239105,2548991
2018-02-05,45.500000,45.500000,44.799999,44.820000,43.449036,2256927
2018-02-06,43.450001,44.490002,43.290001,43.985001,42.639580,4083682
2018-02-07,44.279999,44.549999,43.615002,44.360001,43.003109,2606340
2018-02-08,44.235001,44.235001,42.695000,42.910000,41.597458,2648265
2018-02-09,42.720001,43.075001,42.049999,42.525002,41.224239,3316638
2018-02-12,43.084999,43.384998,42.799999,42.845001,41.534451,1682612
2018-02-13,42.750000,43.064999,42.525002,42.590000,41.287247,1802057
2018-02-14,42.825001,43.595001,42.520000,43.240002,41.917366,2626184
2018-02-15,43.715000,44.250000,43.535000,43.790001,42.450542,2089303
2018-02-16,44.009998,44.205002,43.564999,43.619999,42.285740,2697176
2018-02-19,43.735001,43.860001,42.974998,42.990002,41.675014,1649788
2018-02-20,43.000000,44.365002,43.000000,44.259998,42.906166,2530592
2018-02-21,44.270000,44.465000,43.709999,44.369999,43.012798,1519039
2018-02-22,43.705002,44.334999,43.485001,44.095001,42.746216,1929018
2018-02-23,45.279999,45.825001,44.665001,45.375000,43.987061,2962256
2018-02-26,45.615002,45.939999,45.310001,45.869999,44.466919,2246713
2018-02-27,45.855000,46.814999,45.849998,46.750000,45.320000,3058338
2018-02-28,46.680000,46.980000,46.410000,46.744999,45.315151,2790203
2018-03-01,46.525002,46.910000,46.180000,46.369999,44.951622,3438869
2018-03-02,45.799999,45.985001,44.755001,44.845001,43.473274,3022858
2018-03-05,44.875000,45.285000,44.544998,45.000000,43.623531,2410843
2018-03-06,45.299999,45.615002,44.840000,44.855000,43.482964,1841599
2018-03-07,44.669998,45.505001,44.544998,45.404999,44.016140,1525810
2018-03-08,45.380001,45.830002,45.325001,45.744999,44.345741,1705234
2018-03-09,45.880001,46.044998,45.639999,45.950001,44.544472,1325346
2018-03-12,46.320000,46.455002,46.000000,46.349998,44.932236,1440856
2018-03-13,46.439999,46.540001,45.595001,45.820000,44.418449,2103574
2018-03-14,45.724998,46.075001,45.695000,45.939999,44.534775,1337713
2018-03-15,46.189999,46.485001,45.915001,46.345001,44.927391,1429086
2018-03-16,46.299999,46.430000,45.775002,45.990002,44.583248,3123179
2018-03-19,46.049999,46.380001,45.605000,45.814999,44.413601,1866756
2018-03-20,45.950001,46.044998,45.544998,45.810001,44.408756,1227116
2018-03-21,45.705002,45.705002,44.349998,45.000000,43.623531,2275926
2018-03-22,44.700001,44.860001,43.380001,43.889999,42.547482,2630647
2018-03-23,43.474998,43.474998,42.380001,42.720001,41.413273,2570619
2018-03-26,42.840000,43.029999,42.139999,42.349998,41.054588,1784592
2018-03-27,43.029999,43.070000,42.540001,42.685001,41.379345,2056193
2018-03-28,42.250000,42.724998,41.794998,42.724998,41.418118,2179417
2018-03-29,42.900002,42.970001,42.685001,42.860001,41.548988,1771440
2018-04-03,42.575001,42.855000,42.250000,42.639999,41.335716,1391954
2018-04-04,42.785000,42.845001,41.974998,42.439999,41.141834,1609133
2018-04-05,43.110001,43.660000,43.005001,43.564999,42.232422,1951486
2018-04-06,43.410000,43.709999,43.189999,43.445000,42.116096,1089204
2018-04-09,43.685001,43.919998,43.345001,43.650002,42.314827,1265156
2018-04-10,43.189999,43.314999,42.779999,43.270000,41.946449,1866294
2018-04-11,43.529999,43.529999,42.794998,43.075001,41.757412,1490848
2018-04-12,43.224998,43.564999,43.049999,43.564999,42.232422,1346219
2018-04-13,43.619999,43.785000,43.154999,43.240002,41.917366,1550953
2018-04-16,43.209999,43.395000,42.939999,42.985001,41.670166,1096697
2018-04-17,43.095001,43.330002,42.945000,43.165001,41.844662,1616973
2018-04-18,43.189999,43.695000,43.095001,43.549999,42.217884,1570949
2018-04-19,43.650002,43.974998,43.634998,43.674999,42.339058,1139566
2018-04-20,43.759998,44.165001,43.685001,44.005001,42.658966,1786090
2018-04-23,44.044998,44.630001,43.959999,44.570000,43.206684,1349991
2018-04-24,44.540001,44.634998,43.834999,44.025002,42.678356,1342720
2018-04-25,43.680000,43.794998,43.095001,43.424999,42.096706,1508265
2018-04-26,43.435001,43.525002,42.799999,42.805000,41.495670,2749433
2018-04-27,43.849998,44.439999,43.595001,43.705002,42.368145,2745233
2018-04-30,43.840000,43.900002,43.250000,43.494999,42.164566,1990523
2018-05-02,43.805000,44.130001,43.584999,43.875000,42.532944,2229929
2018-05-03,43.915001,44.095001,43.505001,43.680000,42.343906,1533646
2018-05-04,43.799999,44.365002,43.665001,44.360001,43.003109,1938399
2018-05-07,44.325001,44.349998,43.950001,44.075001,42.726826,905089
2018-05-08,44.005001,44.290001,43.855000,44.224998,42.872234,1409029
2018-05-09,44.139999,44.645000,44.139999,44.430000,43.070965,1220725
2018-05-10,44.389999,44.474998,43.939999,44.075001,42.726826,941570
2018-05-11,45.340000,45.500000,44.459999,45.244999,43.861034,2243225
2018-05-14,45.435001,45.435001,44.720001,44.810001,43.439342,1422200
2018-05-15,44.770000,45.134998,44.580002,44.939999,43.565365,1650031
2018-05-16,44.845001,45.299999,44.770000,45.095001,43.715626,1357582
2018-05-17,45.049999,45.685001,45.049999,45.685001,44.287579,1419789
2018-05-18,45.685001,46.000000,45.470001,45.580002,44.185791,2203113
2018-05-21,45.645000,45.860001,45.599998,45.645000,44.248802,798631
